N	position	value	word_length	normalized_position
35	6	1	268	0.022388059701492536
35	7	1	268	0.026119402985074626
35	8	1	268	0.029850746268656716
35	9	1	268	0.033582089552238806
35	10	1	268	0.03731343283582089
35	11	1	268	0.041044776119402986
35	12	1	268	0.04477611940298507
35	13	1	268	0.048507462686567165
35	14	1	268	0.05223880597014925
35	15	1	268	0.055970149253731345
35	16	1	268	0.05970149253731343
35	17	1	268	0.06343283582089553
35	18	32	268	0.06716417910447761
35	147	16	268	0.5485074626865671
35	268	66	268	1.0
36	1	1	284	0.0035211267605633804
36	2	1	284	0.007042253521126761
36	3	1	284	0.01056338028169014
36	4	1	284	0.014084507042253521
36	5	1	284	0.017605633802816902
36	6	1	284	0.02112676056338028
36	7	1	284	0.02464788732394366
36	8	1	284	0.028169014084507043
36	9	1	284	0.03169014084507042
36	10	1	284	0.035211267605633804
36	11	1	284	0.03873239436619718
36	12	1	284	0.04225352112676056
36	13	1	284	0.045774647887323945
36	14	1	284	0.04929577464788732
36	15	1	284	0.0528169014084507
36	16	1	284	0.056338028169014086
36	17	1	284	0.05985915492957746
36	18	34	284	0.06338028169014084
36	155	16	284	0.545774647887324
36	284	68	284	1.0
37	1	1	302	0.0033112582781456954
37	2	1	302	0.006622516556291391
37	3	1	302	0.009933774834437087
37	4	1	302	0.013245033112582781
37	5	1	302	0.016556291390728478
37	6	1	302	0.019867549668874173
37	7	1	302	0.023178807947019868
37	8	1	302	0.026490066225165563
37	9	1	302	0.029801324503311258
37	10	1	302	0.033112582781456956
37	11	1	302	0.03642384105960265
37	12	1	302	0.039735099337748346
37	13	1	302	0.04304635761589404
37	14	1	302	0.046357615894039736
37	15	1	302	0.04966887417218543
37	16	1	302	0.052980132450331126
37	17	1	302	0.056291390728476824
37	18	1	302	0.059602649006622516
37	19	34	302	0.06291390728476821
37	165	16	302	0.5463576158940397
37	302	70	302	1.0
38	1	1	318	0.0031446540880503146
38	2	1	318	0.006289308176100629
38	3	1	318	0.009433962264150943
38	4	1	318	0.012578616352201259
38	5	1	318	0.015723270440251572
38	6	1	318	0.018867924528301886
38	7	1	318	0.0220125786163522
38	8	1	318	0.025157232704402517
38	9	1	318	0.02830188679245283
38	10	1	318	0.031446540880503145
38	11	1	318	0.03459119496855346
38	12	1	318	0.03773584905660377
38	13	1	318	0.040880503144654086
38	14	1	318	0.0440251572327044
38	15	1	318	0.04716981132075472
38	16	1	318	0.050314465408805034
38	17	1	318	0.05345911949685535
38	18	1	318	0.05660377358490566
38	19	36	318	0.059748427672955975
38	173	18	318	0.5440251572327044
38	318	72	318	1.0
39	1	1	337	0.002967359050445104
39	2	1	337	0.005934718100890208
39	3	1	337	0.008902077151335312
39	4	1	337	0.011869436201780416
39	5	1	337	0.01483679525222552
39	6	1	337	0.017804154302670624
39	7	1	337	0.020771513353115726
39	8	1	337	0.02373887240356083
39	9	1	337	0.026706231454005934
39	10	1	337	0.02967359050445104
39	11	1	337	0.032640949554896145
39	12	1	337	0.03560830860534125
39	13	1	337	0.03857566765578635
39	14	1	337	0.04154302670623145
39	15	1	337	0.04451038575667656
39	16	1	337	0.04747774480712166
39	17	1	337	0.050445103857566766
39	18	1	337	0.05341246290801187
39	19	1	337	0.05637982195845697
39	20	36	337	0.05934718100890208
39	183	18	337	0.543026706231454
39	337	74	337	1.0
40	1	1	355	0.0028169014084507044
40	2	1	355	0.005633802816901409
40	3	1	355	0.008450704225352112
40	4	1	355	0.011267605633802818
40	5	1	355	0.014084507042253521
40	6	1	355	0.016901408450704224
40	7	1	355	0.01971830985915493
40	8	1	355	0.022535211267605635
40	9	1	355	0.02535211267605634
40	10	1	355	0.028169014084507043
40	11	1	355	0.030985915492957747
40	12	1	355	0.03380281690140845
40	13	1	355	0.036619718309859155
40	14	1	355	0.03943661971830986
40	15	1	355	0.04225352112676056
40	16	1	355	0.04507042253521127
40	17	1	355	0.04788732394366197
40	18	1	355	0.05070422535211268
40	19	1	355	0.05352112676056338
40	20	38	355	0.056338028169014086
40	192	18	355	0.5408450704225352
40	355	76	355	1.0
